"timestamp","pm10","pm2.5","pm1","noise","illuminance","irradiance","temperature","humidity","presure","voltage","batery","panel","sensor"
"2020-09-08T18:04:09.000Z","{""value"":8.07,""max"":12,""min"":6,""sd"":1.53}","{""value"":5.87,""max"":7,""min"":5,""sd"":0.83}","{""value"":4.33,""max"":5,""min"":3,""sd"":0.72}","{""value"":0,""max"":0.37,""min"":0,""sd"":0.07}","{""value"":18.7,""max"":21,""min"":16,""sd"":1.9}","{""value"":269.39,""max"":339,""min"":214,""sd"":49.09}","{""value"":26.82,""max"":26.89,""min"":26.63,""sd"":0.17}","{""value"":58.24,""max"":59.91,""min"":56.46,""sd"":1}","{""value"":901.43,""max"":901.55,""min"":901.26,""sd"":0.16}","{""value"":4.92,""max"":4.92,""min"":4.92,""sd"":0.02}","{""value"":4.09,""max"":4.09,""min"":4.08,""sd"":0.04}","{""value"":5.83,""max"":6.22,""min"":4.95,""sd"":0.46}",
"2020-09-08T18:04:09.000Z","{""value"":6.47,""max"":9,""min"":5,""sd"":1.46}","{""value"":4.93,""max"":7,""min"":3,""sd"":1.03}","{""value"":3.8,""max"":5,""min"":3,""sd"":0.86}",,,,,,,,,,2
"2020-09-08T17:49:04.000Z","{""value"":4.87,""max"":9,""min"":2,""sd"":1.94}","{""value"":4.17,""max"":7,""min"":2,""sd"":1.65}","{""value"":3.5,""max"":6,""min"":2,""sd"":1.29}",,,,,,,,,,2
"2020-09-08T17:49:04.000Z","{""value"":7.9,""max"":12,""min"":6,""sd"":1.19}","{""value"":5.8,""max"":6,""min"":5,""sd"":0.54}","{""value"":3.77,""max"":5,""min"":3,""sd"":0.69}","{""value"":0,""max"":0.18,""min"":0,""sd"":0.04}","{""value"":20.16,""max"":21,""min"":19,""sd"":0.6}","{""value"":231.7,""max"":260,""min"":217,""sd"":9.45}","{""value"":26.71,""max"":26.87,""min"":26.44,""sd"":0.24}","{""value"":56.58,""max"":58.1,""min"":55.35,""sd"":0.75}","{""value"":901.67,""max"":901.84,""min"":901.51,""sd"":0.17}","{""value"":4.92,""max"":4.92,""min"":4.92,""sd"":0.02}","{""value"":4.09,""max"":4.09,""min"":4.08,""sd"":0.04}","{""value"":5.63,""max"":5.9,""min"":4.93,""sd"":0.36}",
"2020-09-08T17:33:20.000Z","{""value"":11.87,""max"":14,""min"":10,""sd"":1.41}","{""value"":9.67,""max"":12,""min"":7,""sd"":1.76}","{""value"":6.73,""max"":8,""min"":6,""sd"":0.7}","{""value"":0,""max"":0.29,""min"":0,""sd"":0.04}","{""value"":17.76,""max"":20,""min"":14,""sd"":2.05}","{""value"":302.66,""max"":462,""min"":236,""sd"":60.78}","{""value"":26.69,""max"":26.87,""min"":26.45,""sd"":0.23}","{""value"":56.63,""max"":58.32,""min"":54.5,""sd"":1.06}","{""value"":901.97,""max"":902.08,""min"":901.84,""sd"":0.16}","{""value"":4.92,""max"":4.92,""min"":4.92,""sd"":0}","{""value"":4.09,""max"":4.09,""min"":4.08,""sd"":0.03}","{""value"":5.85,""max"":5.98,""min"":5.77,""sd"":0.12}",
"2020-09-08T17:33:20.000Z","{""value"":10.87,""max"":12,""min"":10,""sd"":0.83}","{""value"":10.47,""max"":12,""min"":10,""sd"":0.64}","{""value"":7.87,""max"":9,""min"":7,""sd"":0.64}",,,,,,,,,,2
"2020-09-08T17:18:14.000Z","{""value"":12.43,""max"":23,""min"":6,""sd"":3.41}","{""value"":11.5,""max"":21,""min"":6,""sd"":3.9}","{""value"":8.33,""max"":14,""min"":5,""sd"":2.9}",,,,,,,,,,2
"2020-09-08T17:18:14.000Z","{""value"":13.27,""max"":24,""min"":7,""sd"":4.02}","{""value"":11.47,""max"":18,""min"":7,""sd"":3.96}","{""value"":7.8,""max"":14,""min"":5,""sd"":2.91}","{""value"":0,""max"":0.59,""min"":0,""sd"":0.12}","{""value"":14.58,""max"":16,""min"":12,""sd"":0.97}","{""value"":421.98,""max"":571,""min"":369,""sd"":39.04}","{""value"":26.15,""max"":26.38,""min"":25.94,""sd"":0.23}","{""value"":58.26,""max"":59.92,""min"":56.65,""sd"":0.99}","{""value"":902.26,""max"":902.43,""min"":902.08,""sd"":0.17}","{""value"":4.92,""max"":4.92,""min"":4.91,""sd"":0.01}","{""value"":4.09,""max"":4.09,""min"":4.08,""sd"":0.04}","{""value"":5.92,""max"":6.14,""min"":4.98,""sd"":0.43}",
"2020-09-08T17:03:08.000Z","{""value"":22.53,""max"":27,""min"":17,""sd"":3.44}","{""value"":20.33,""max"":24,""min"":15,""sd"":2.79}","{""value"":13.13,""max"":15,""min"":11,""sd"":1.36}",,,,,,,,,,2
"2020-09-08T17:03:08.000Z","{""value"":21.67,""max"":28,""min"":16,""sd"":4.08}","{""value"":17.33,""max"":20,""min"":16,""sd"":1.54}","{""value"":12.33,""max"":13,""min"":11,""sd"":0.62}","{""value"":0,""max"":0.07,""min"":0,""sd"":0.02}","{""value"":13.47,""max"":16,""min"":11,""sd"":1.46}","{""value"":491.48,""max"":691,""min"":350,""sd"":89.43}","{""value"":25.66,""max"":26.01,""min"":25.39,""sd"":0.25}","{""value"":61.34,""max"":62.76,""min"":59.43,""sd"":0.99}","{""value"":902.54,""max"":902.77,""min"":902.39,""sd"":0.19}","{""value"":4.92,""max"":4.92,""min"":4.91,""sd"":0.02}","{""value"":4.09,""max"":4.09,""min"":4.08,""sd"":0.05}","{""value"":5.96,""max"":6.29,""min"":2.27,""sd"":0.63}",
