"timestamp","sensor","pm10","pm2.5","pm1","noise","illuminance","irradiance","temperature","humidity","presure","voltage","batery","panel"
"2020-09-11T17:25:40.000Z",,"{""value"":22.6,""max"":28,""min"":20,""sd"":2.56}","{""value"":22.07,""max"":27,""min"":19,""sd"":2.63}","{""value"":14.87,""max"":16,""min"":14,""sd"":0.52}","{""value"":0.26,""max"":0.92,""min"":0.16,""sd"":0.21}","{""value"":69.61,""max"":73,""min"":67,""sd"":1.91}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":28.98,""max"":29.06,""min"":28.86,""sd"":0.14}","{""value"":46.8,""max"":49.01,""min"":44.86,""sd"":1.23}","{""value"":898.12,""max"":898.41,""min"":897.85,""sd"":0.23}","{""value"":5.04,""max"":5.05,""min"":5.04,""sd"":0.03}","{""value"":4.21,""max"":4.21,""min"":4.21,""sd"":0}","{""value"":0.02,""max"":0.03,""min"":0.01,""sd"":0.07}"
"2020-09-11T17:10:27.000Z",,"{""value"":22.13,""max"":29,""min"":17,""sd"":1.63}","{""value"":21.7,""max"":28,""min"":17,""sd"":1.53}","{""value"":14.8,""max"":17,""min"":13,""sd"":1.01}","{""value"":0.3,""max"":1.33,""min"":0.16,""sd"":0.28}","{""value"":71.87,""max"":75,""min"":68,""sd"":1.68}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":28.63,""max"":28.85,""min"":28.41,""sd"":0.18}","{""value"":46.09,""max"":47.16,""min"":45.05,""sd"":0.58}","{""value"":898.31,""max"":898.5,""min"":898.05,""sd"":0.22}","{""value"":5.04,""max"":5.05,""min"":5.04,""sd"":0.03}","{""value"":4.21,""max"":4.21,""min"":4.21,""sd"":0}","{""value"":0.02,""max"":0.03,""min"":0.01,""sd"":0.07}"
"2020-09-11T17:10:27.000Z",2,"{""value"":20.77,""max"":24,""min"":16,""sd"":1.46}","{""value"":20.07,""max"":23,""min"":16,""sd"":1.63}","{""value"":16.1,""max"":18,""min"":14,""sd"":1.21}",,,,,,,,,
"2020-09-11T16:55:13.000Z",,"{""value"":24.73,""max"":29,""min"":22,""sd"":1.98}","{""value"":23.73,""max"":28,""min"":21,""sd"":1.83}","{""value"":17,""max"":19,""min"":15,""sd"":1.6}","{""value"":0.24,""max"":1.48,""min"":0.15,""sd"":0.21}","{""value"":71.97,""max"":80,""min"":67,""sd"":3.44}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":28.3,""max"":28.4,""min"":28.26,""sd"":0.09}","{""value"":47.79,""max"":48.61,""min"":46.45,""sd"":0.59}","{""value"":898.55,""max"":898.68,""min"":898.43,""sd"":0.15}","{""value"":5.04,""max"":5.05,""min"":5.04,""sd"":0.02}","{""value"":4.21,""max"":4.21,""min"":4.21,""sd"":0}","{""value"":0.02,""max"":0.04,""min"":0.01,""sd"":0.06}"
"2020-09-11T16:55:13.000Z",2,"{""value"":26.13,""max"":30,""min"":22,""sd"":2.72}","{""value"":25.2,""max"":29,""min"":21,""sd"":2.81}","{""value"":18.87,""max"":20,""min"":17,""sd"":0.92}",,,,,,,,,
"2020-09-11T16:40:00.000Z",,"{""value"":26.03,""max"":33,""min"":22,""sd"":1.95}","{""value"":24.77,""max"":29,""min"":21,""sd"":1.63}","{""value"":17.83,""max"":19,""min"":16,""sd"":1.01}","{""value"":0.23,""max"":0.63,""min"":0.15,""sd"":0.2}","{""value"":77.33,""max"":80,""min"":69,""sd"":3.31}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":28.22,""max"":28.28,""min"":28.2,""sd"":0.08}","{""value"":48.68,""max"":48.88,""min"":48.25,""sd"":0.28}","{""value"":898.93,""max"":899.12,""min"":898.71,""sd"":0.18}","{""value"":5.04,""max"":5.04,""min"":5.03,""sd"":0.04}","{""value"":4.21,""max"":4.21,""min"":4.21,""sd"":0}","{""value"":0.02,""max"":0.04,""min"":0.01,""sd"":0.07}"
"2020-09-11T16:40:00.000Z",2,"{""value"":26.17,""max"":29,""min"":22,""sd"":1.47}","{""value"":25.4,""max"":28,""min"":22,""sd"":1.44}","{""value"":19.83,""max"":21,""min"":18,""sd"":0.93}",,,,,,,,,
"2020-09-11T16:24:51.000Z",,"{""value"":26.53,""max"":28,""min"":24,""sd"":1.25}","{""value"":25.2,""max"":26,""min"":24,""sd"":0.77}","{""value"":18.2,""max"":19,""min"":17,""sd"":0.56}","{""value"":0.23,""max"":0.9,""min"":0.13,""sd"":0.23}","{""value"":76.47,""max"":80,""min"":71,""sd"":2.4}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":28.09,""max"":28.23,""min"":27.94,""sd"":0.15}","{""value"":48.92,""max"":49.33,""min"":48.63,""sd"":0.35}","{""value"":899.32,""max"":899.56,""min"":899.11,""sd"":0.19}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0}","{""value"":4.21,""max"":4.21,""min"":4.21,""sd"":0}","{""value"":0.02,""max"":0.02,""min"":0.01,""sd"":0.07}"
"2020-09-11T16:24:51.000Z",2,"{""value"":27.13,""max"":30,""min"":25,""sd"":1.73}","{""value"":26.53,""max"":29,""min"":23,""sd"":1.92}","{""value"":19.53,""max"":21,""min"":18,""sd"":0.92}",,,,,,,,,
"2020-09-11T16:09:43.000Z",2,"{""value"":28.87,""max"":33,""min"":26,""sd"":1.59}","{""value"":27.87,""max"":31,""min"":25,""sd"":1.48}","{""value"":20.77,""max"":22,""min"":19,""sd"":1.01}",,,,,,,,,
